company_id,company_name,industry,size,revenue_bn,AI战略清晰度_current,AI战略清晰度_target,高管支持度_current,高管支持度_target,业务对齐度_current,业务对齐度_target,数据质量_current,数据质量_target,数据治理_current,数据治理_target,数据开放性_current,数据开放性_target,基础设施就绪度_current,基础设施就绪度_target,MLOps成熟度_current,MLOps成熟度_target,AI平台能力_current,AI平台能力_target,AI人才密度_current,AI人才密度_target,跨部门协作_current,跨部门协作_target,培训体系_current,培训体系_target,AI治理框架_current,AI治理框架_target,风险管控_current,风险管控_target,伦理合规_current,伦理合规_target,数据驱动文化_current,数据驱动文化_target,创新机制_current,创新机制_target,容错与试错_current,容错与试错_target
ENT-010,企业AK,制造,中型(1000-10000人),3.86,1.0,1.8,1.3,1.9,1.4,2.3,1.4,2.6,1.4,3.1,2.0,4.0,2.3,3.4,1.6,3.3,1.8,3.7,1.7,3.1,2.0,2.6,2.5,4.1,1.4,3.3,1.0,2.5,1.0,2.7,2.2,3.9,1.6,2.4,2.7,4.1
ENT-011,企业AL,零售,大型(>10000人),12.03,2.1,3.3,1.8,2.6,2.4,3.0,1.2,2.0,1.0,2.0,1.5,2.8,1.8,3.5,1.5,3.3,1.9,3.8,1.7,3.4,1.5,2.3,2.0,3.1,2.9,4.0,3.7,4.3,2.9,3.8,2.2,3.5,1.7,2.9,2.1,3.4
ENT-012,企业AM,金融,中型(1000-10000人),2.03,2.5,3.5,1.6,3.1,2.3,3.5,4.2,5.0,4.6,5.0,4.8,5.0,3.7,4.6,2.5,4.4,3.3,3.8,2.4,3.6,3.2,3.7,3.0,5.0,4.1,5.0,4.2,5.0,4.8,5.0,3.0,4.6,3.5,5.0,2.9,3.5
ENT-013,企业AN,科技,大型(>10000人),1.48,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5.0,5.0,4.5,5.0,4.7,5.0,4.2,5.0,4.8,5.0
ENT-014,企业AO,科技,大型(>10000人),1.6,2.5,4.1,2.4,4.2,3.0,4.2,4.6,5.0,4.3,5.0,4.3,5.0,3.7,4.9,3.9,5.0,4.1,5.0,4.4,5.0,4.4,5.0,5.0,5.0,3.7,5.0,4.0,5.0,4.3,5.0,2.8,3.9,3.4,5.0,2.5,3.2
ENT-015,企业AP,制造,中型(1000-10000人),15.27,2.6,4.2,2.6,4.0,2.1,3.2,2.4,4.3,2.0,4.0,2.3,4.1,2.8,4.2,2.1,3.1,2.3,4.0,1.8,3.7,2.2,3.8,2.2,3.4,1.6,2.3,2.2,3.3,1.6,3.5,2.1,3.5,2.7,3.3,2.4,4.4
ENT-016,企业AQ,金融,大型(>10000人),1.47,3.0,4.0,4.1,5.0,2.9,4.7,2.0,3.6,2.6,3.8,2.5,3.7,2.4,3.4,2.4,3.3,2.3,4.1,3.3,5.0,3.7,4.6,2.3,3.1,3.8,4.8,4.2,5.0,3.9,5.0,3.3,5.0,2.5,3.1,2.8,4.2
ENT-017,企业AR,金融,大型(>10000人),43.15,1.0,2.1,1.0,2.4,1.5,2.6,1.5,2.4,1.2,2.9,1.0,2.1,3.2,4.1,3.0,5.0,2.9,4.2,1.3,1.8,1.0,2.3,1.8,3.3,1.8,2.3,1.7,3.1,2.0,3.5,1.0,2.3,1.0,2.4,1.0,1.9
ENT-018,企业AS,能源,小型(<1000人),6.52,3.8,5.0,3.4,4.1,3.2,4.4,2.3,3.0,3.1,5.0,3.1,3.8,3.5,4.5,2.2,3.8,1.9,3.3,2.4,3.0,2.9,4.8,2.2,3.9,3.7,4.3,3.5,5.0,3.2,4.7,3.9,4.5,3.4,4.8,3.6,5.0
ENT-019,企业AT,制造,中型(1000-10000人),21.18,1.6,3.4,1.1,2.8,1.7,2.3,1.0,1.7,1.0,2.0,1.0,2.6,1.1,2.4,1.0,2.4,1.7,3.5,1.0,1.5,1.0,2.9,1.1,2.8,1.6,2.8,1.4,3.4,1.2,2.9,1.0,2.6,1.0,2.0,1.0,1.9
ENT-020,企业AU,医疗,中型(1000-10000人),13.97,1.0,1.7,1.3,3.3,1.0,2.8,1.7,3.7,1.6,2.7,1.7,3.5,1.3,2.0,1.5,2.1,1.3,3.2,1.7,3.1,1.5,2.9,1.0,2.3,1.0,2.2,2.2,3.8,1.0,1.6,1.0,1.9,1.0,2.8,1.0,1.6
ENT-021,企业AV,金融,中型(1000-10000人),3.33,1.9,3.5,1.8,2.6,2.2,3.7,1.0,2.4,1.0,2.5,1.5,2.8,3.0,4.7,3.5,5.0,3.3,4.9,3.5,5.0,3.7,4.4,3.4,5.0,2.8,3.8,2.5,4.2,3.0,4.7,2.7,3.6,2.8,4.2,2.8,3.7
ENT-022,企业AW,医疗,大型(>10000人),8.93,3.0,4.1,3.3,5.0,2.8,3.6,2.5,4.1,2.5,3.1,2.8,4.6,3.2,4.6,3.3,5.0,3.5,4.6,2.5,3.0,2.2,4.1,1.7,2.4,3.0,4.7,2.9,4.6,2.4,3.2,2.8,4.6,2.0,3.0,2.5,4.1
ENT-023,企业AX,制造,大型(>10000人),5.87,2.8,4.0,3.1,4.8,3.1,4.9,3.3,4.0,3.3,4.5,3.0,3.7,2.3,3.4,2.6,3.2,2.1,3.5,2.6,3.6,2.8,3.4,2.9,4.0,3.5,4.4,4.0,5.0,3.9,4.5,2.0,2.9,2.9,4.5,2.0,3.3
ENT-024,企业AY,制造,中型(1000-10000人),7.67,1.3,1.9,1.0,2.4,1.3,2.8,1.4,2.2,1.3,2.9,1.0,1.5,2.5,4.3,2.8,3.8,2.7,4.4,2.2,3.4,2.3,3.9,3.0,3.6,1.0,2.7,1.0,2.3,1.8,3.4,1.6,2.4,1.3,1.8,1.6,2.5
ENT-025,企业AZ,医疗,大型(>10000人),12.22,3.2,4.8,2.8,4.1,3.5,4.8,2.5,3.6,3.0,4.7,3.1,4.6,1.4,2.6,1.8,3.5,2.2,3.3,4.0,5.0,2.4,3.0,3.6,4.8,2.2,3.6,3.3,3.9,2.9,4.4,1.5,3.3,2.2,3.6,2.2,3.3
ENT-026,企业BA,零售,小型(<1000人),3.83,1.7,2.4,2.8,4.7,1.4,2.3,1.0,2.4,1.0,2.7,1.0,2.6,1.4,2.7,1.3,3.3,1.5,2.2,1.0,1.8,1.0,2.1,1.0,2.2,1.0,2.3,1.0,1.7,1.0,1.7,1.0,1.8,1.0,1.9,1.0,2.9
ENT-027,企业BB,制造,中型(1000-10000人),8.99,2.3,4.0,2.3,4.2,2.1,3.5,3.3,4.3,2.7,3.7,2.1,3.9,1.8,2.5,2.5,4.4,2.3,3.5,2.4,3.5,2.9,3.9,2.0,3.4,3.6,4.7,3.6,4.9,3.2,4.4,2.1,2.9,2.7,4.0,2.5,3.8
ENT-028,企业BC,制造,中型(1000-10000人),1.43,2.6,4.0,1.9,3.5,1.8,3.7,1.1,3.0,1.0,2.2,1.0,1.9,1.0,2.7,1.0,2.4,1.0,2.6,1.0,1.7,1.0,1.8,1.0,2.3,1.0,2.4,1.3,2.6,1.0,1.6,1.4,2.8,1.3,2.1,1.3,2.1
ENT-029,企业BD,制造,大型(>10000人),5.73,3.8,4.7,3.6,5.0,2.8,4.3,3.6,4.3,2.8,3.7,3.2,5.0,3.5,4.3,3.8,4.6,3.9,5.0,2.8,3.4,3.2,4.6,3.1,4.6,1.3,2.9,2.2,3.2,2.5,4.4,3.0,4.5,2.0,3.1,3.2,4.2
ENT-030,企业BE,医疗,中型(1000-10000人),19.4,2.8,3.7,3.7,4.5,3.3,4.5,1.6,3.6,1.4,2.8,1.9,2.5,3.1,4.7,2.8,3.9,2.5,4.2,3.0,4.1,2.6,4.1,3.2,3.8,3.0,4.8,3.4,4.1,4.3,4.9,2.6,3.6,2.1,3.0,2.3,3.6
ENT-031,企业BF,零售,中型(1000-10000人),2.38,4.7,5.0,4.7,5.0,4.6,5.0,4.5,5.0,4.2,5.0,4.3,5.0,4.2,5.0,4.1,4.8,3.9,5.0,4.5,5.0,4.0,5.0,4.4,5.0,3.6,4.2,4.1,5.0,4.3,5.0,3.5,4.7,4.4,5.0,3.9,5.0
ENT-032,企业BG,医疗,中型(1000-10000人),0.98,2.9,4.1,3.4,4.3,3.7,4.8,3.4,4.2,3.4,4.8,3.7,4.5,2.8,3.6,3.4,5.0,3.2,4.9,3.8,4.8,3.5,4.3,5.0,5.0,2.9,4.6,4.0,4.8,3.6,5.0,3.7,5.0,3.8,4.7,3.7,5.0
ENT-033,企业BH,能源,小型(<1000人),2.91,1.6,3.2,1.0,2.1,1.8,3.0,2.4,4.3,2.1,3.6,2.7,3.9,2.3,2.9,2.5,4.0,2.9,4.4,2.6,4.0,2.3,3.0,2.0,3.6,3.2,3.8,3.3,3.9,3.0,3.6,2.3,3.2,2.3,3.8,1.5,2.3
ENT-034,企业BI,零售,中型(1000-10000人),8.92,3.2,3.8,3.8,5.0,3.5,4.3,3.4,5.0,3.8,4.8,3.4,4.1,3.0,4.2,3.0,4.4,3.3,4.0,3.2,4.3,2.2,2.9,3.5,4.4,3.8,5.0,3.1,4.9,4.1,5.0,4.8,5.0,4.1,4.7,4.7,5.0
ENT-035,企业BJ,科技,小型(<1000人),6.78,3.9,4.7,4.1,5.0,3.6,4.9,4.4,5.0,4.1,5.0,3.6,5.0,3.1,4.3,2.8,4.5,2.6,3.4,4.2,5.0,3.9,5.0,3.6,4.9,2.1,2.8,2.8,4.8,2.4,3.5,3.9,5.0,3.4,4.5,4.7,5.0
ENT-036,企业BK,能源,大型(>10000人),4.89,1.0,2.8,2.1,2.8,1.4,2.2,2.0,3.2,2.6,3.1,2.6,3.6,1.7,3.2,1.8,3.1,1.4,2.5,2.0,2.9,2.0,3.7,2.2,3.8,2.1,2.9,1.6,2.4,2.5,4.0,1.7,3.7,2.4,3.8,1.9,3.3
ENT-037,企业BL,科技,中型(1000-10000人),6.38,2.7,4.5,3.2,4.9,3.5,4.7,3.0,3.6,3.0,4.2,3.7,5.0,3.4,4.8,3.4,4.9,3.0,4.9,2.7,3.6,3.0,3.9,3.2,4.8,4.2,4.8,4.1,4.7,4.3,5.0,3.2,4.3,3.9,4.4,3.5,5.0
ENT-038,企业BM,医疗,大型(>10000人),18.67,3.0,4.4,2.9,3.6,2.7,4.3,1.8,2.8,2.0,2.6,2.9,4.4,2.7,3.5,3.1,4.8,1.8,3.1,2.0,3.8,1.4,2.9,1.7,2.5,3.2,4.1,3.2,4.2,3.4,5.0,3.1,4.1,2.5,4.1,2.9,4.5
ENT-039,企业BN,能源,中型(1000-10000人),3.71,2.1,3.7,2.6,3.2,2.7,3.7,1.0,2.7,1.1,2.2,1.0,1.6,1.0,1.8,1.0,2.6,1.0,1.9,1.8,2.6,2.3,3.5,2.7,4.0,1.5,2.5,3.0,3.6,2.1,3.1,2.4,3.4,1.8,3.8,2.6,3.8
ENT-040,企业BO,能源,中型(1000-10000人),11.34,1.7,2.4,1.3,2.6,1.1,2.7,1.2,3.0,1.0,2.6,1.5,2.5,2.0,3.2,2.0,3.7,1.1,2.1,1.3,3.0,1.5,2.2,1.5,2.5,2.0,3.5,1.6,3.4,2.7,3.9,1.4,2.1,1.0,2.5,1.8,2.4
ENT-041,企业BP,科技,小型(<1000人),4.6,3.7,5.0,3.4,4.2,4.3,4.8,3.8,5.0,4.4,5.0,4.5,5.0,3.9,5.0,3.6,4.8,4.0,5.0,4.3,5.0,3.6,5.0,3.8,5.0,3.9,4.8,4.2,5.0,4.3,4.8,4.0,4.9,4.4,5.0,4.9,5.0
ENT-042,企业BQ,金融,中型(1000-10000人),1.47,2.7,4.3,3.3,4.7,3.5,5.0,3.7,4.3,4.0,4.6,4.5,5.0,3.3,3.9,3.3,5.0,3.4,5.0,5.0,5.0,3.7,5.0,3.2,4.6,4.0,5.0,4.1,5.0,4.3,5.0,3.2,4.3,4.0,5.0,3.1,4.5
ENT-043,企业BR,金融,中型(1000-10000人),8.98,1.6,2.8,2.0,2.8,1.3,2.7,1.8,3.1,1.9,3.6,1.8,3.2,1.6,3.5,1.3,2.7,1.5,2.2,1.7,3.5,3.3,5.0,2.5,3.2,1.5,2.6,2.5,4.1,2.1,3.5,2.7,4.6,2.8,3.7,3.0,3.6
ENT-044,企业BS,医疗,中型(1000-10000人),3.03,1.0,1.7,1.8,2.4,1.0,1.6,2.5,4.0,2.1,3.5,3.1,3.6,2.7,4.1,2.8,3.5,2.9,4.8,2.0,2.7,2.3,3.2,2.2,3.4,2.0,2.7,1.2,2.8,2.3,3.8,2.9,4.0,2.0,3.0,2.9,4.6
ENT-045,企业BT,医疗,大型(>10000人),0.86,2.9,3.5,2.6,3.7,2.7,4.0,1.3,2.8,1.3,2.6,1.5,2.6,2.7,3.4,2.2,4.0,2.7,4.1,1.5,2.3,1.5,2.2,1.7,2.3,1.0,2.0,1.1,1.8,1.0,2.8,1.0,2.2,1.3,2.6,1.2,1.8
ENT-046,企业BU,零售,小型(<1000人),1.67,1.0,1.7,2.2,3.8,2.4,4.2,1.0,1.9,1.0,2.9,1.0,2.3,1.0,1.7,2.6,3.8,1.4,2.5,2.6,4.0,1.6,2.2,1.3,2.5,1.0,2.9,1.0,2.3,1.0,2.8,1.3,2.0,1.2,3.0,1.8,3.7
ENT-047,企业BV,金融,小型(<1000人),7.61,2.9,3.9,3.5,4.8,1.7,2.9,2.7,3.7,2.9,4.1,2.8,4.0,3.7,5.0,3.1,3.7,3.0,3.5,2.0,2.9,1.1,1.6,1.2,3.2,2.3,3.9,2.7,4.1,3.1,4.6,2.4,4.0,2.6,4.6,2.1,2.9
ENT-048,企业BW,制造,小型(<1000人),12.38,2.6,4.2,2.7,4.3,2.9,4.7,2.5,3.7,2.3,3.4,2.1,2.7,2.3,4.0,2.4,3.3,2.6,3.2,3.5,5.0,2.9,3.7,3.2,4.1,3.1,4.1,2.6,4.1,3.1,5.0,2.4,3.9,1.0,2.4,2.0,3.4
ENT-049,企业BX,医疗,中型(1000-10000人),44.73,1.0,1.9,1.0,2.9,1.0,2.6,1.0,2.8,1.0,1.9,1.0,2.1,1.2,2.6,1.0,2.2,1.2,2.2,1.0,2.8,1.0,2.9,1.0,2.1,1.0,2.5,1.1,2.9,1.0,2.5,1.0,2.8,1.0,1.7,1.0,2.5
